Title,Price,Sold,Reviews,Condition,Heating Element Format,Model,Country/Region of Manufacture,Custom Bundle,Item Depth,Item Width,Smart Home Compatibility,Material,Energy Star,Tank Capacity,Power Source,Type,Features,Smart Home Protocol,Timer Control,Color,Year Manufactured,Operating Sound Rating,Energy Efficiency Ratio (EER),Mounting Location,Item Length,Number of Heat Settings,Area Covered,Power,BTU Heating Rating,Brand,Manufacturer Warranty,Control Style,Heating Element Material,EC Range,Heating System,Annual Fuel Utilization Efficiency (AFUE),Voltage,Colour,Modified Item,Style,Room,MPN,EAN,Heating Technology,Power (W),UPC,Mounting & Moving,Model No.,Dimensions,Weight,Energy Efficiency Rating,Air Direction,Tonnage,Country of Origin,Size,Current Rating,Cable Length,Manufacturer Part Number,Type 1,Item Height,Item Dimensions,Colormap,Product Type,Power Supply Indicator Light,Approx Size,Package Contents,Heat technology:,Size:,Power:,Lead length:,Material:,Bundle Description,Customized,Item Weight,Modification Description,Motorized,Personalized,Energy Rating,Perfermance 2,Product Name,Temperature,Application,Cover material,Lead wire,Perfermance 1,Location,Bundle Listing,Unit Quantity,Unit Type,Cool Fan Setting,Heater Style,Width,Height,Resistance Properties,Non-Domestic Product,Depth,ISBN,Heating Material,Shell Material,Max. Power,Surface Dry Heating Temperature,Rated Power
Smudge Pot Direct Smudge Pot Outdoor Heater NEW Fast Free Shipping,349.0,25 watchers, ,"New: A brand-new, unused, unopened, undamaged item in its original packaging (where packaging is applicable). Packaging should be the same as what is found in a retail store, unless the item is handmade or was packaged by the manufacturer in non-retail packaging, such as an unprinted box or plastic bag. See the seller's listing for full details. ",,,,,,,,,,,Diesel,,,,,,,,,,,,,,,Smudge Pot Direct,,,,,,,,,,,,,,,,00195893283729,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Space Heater 30,000 BTU Ventless Dual Fuel Infrared Plaque With Base and Blower",206.99,Last item available, ,"New: A brand-new, unused, unopened, undamaged item in its original packaging (where packaging is applicable). Packaging should be the same as what is found in a retail store, unless the item is handmade or was packaged by the manufacturer in non-retail packaging, such as an unprinted box or plastic bag. See the seller's listing for full details. ",,140326,,,,,,,,,,,,,,,,,,,,,,,,HearthSense,,,,,,,,,,,,140326,0848660005566,,,0848660005566,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Heller 2000W Portable Indoor/Outdoor Electric Patio Heater/Floor Pedestal,93.0,47 sold, ,New,,HPH2000,,,,,,,,,Electric,,Portable,,,,,,,,,,,2000W,,HELLER,,,,,,,,,,,,HPH2000,9312737099372,,,9312737099372,,,,,,,,,,,,HPH2000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mainstays DQ1723-W Mini Ceramic 250 W Electric Space Heater - White,16.99, , ,"New: A brand-new, unused, unopened, undamaged item in its original packaging (where packaging is applicable). Packaging should be the same as what is found in a retail store, unless the item is handmade or was packaged by the manufacturer in non-retail packaging, such as an unprinted box or plastic bag. See the seller's listing for full details. ",,,,,,,,Ceramic,,,Electric,,,,,White,2018,,,"Desk/Tabletop, Cabinet",,1,,201-300 W,,Mainstays,,"Switch, Push Button, Analog/Mechanical",,,Forced Air/Fan,,120 V,,,,,DQ1723W,,,,0819079020884,,,,,,1-Way,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Warm 1400W Portable Electric Fireplace Heater Log Flame Stove Free Standing US,,183 sold, ,"New: A brand-new, unused, unopened, undamaged item in its original packaging (where packaging is applicable). Packaging should be the same as what is found in a retail store, unless the item is handmade or was packaged by the manufacturer in non-retail packaging, such as an unprinted box or plastic bag. See the seller's listing for full details. ",,,,,,,,,,,,,,,,,,,,,,,,,,Zokop,,,,,,,,,,,,,,,,Does not apply,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1,500-Watt Oil-Filled Radiant Electric Space Heater with Thermostat",50.37,22 sold,"['Love this heater. Plenty of heat, easy to move around, good looking. Price cant be beat. Fast ship. Live in Maine, use it in 8 x 8 greenhouse.  Replaced old unit. Keeps  my veggie seedlings happy when its freezing  outside. The oil in heater retains heat,even when it thermostat is satisfied. Very happy with purchase. G', 'Simple to operate with just the two knobs, Easily to transport on wheels from place to place inside the residence, and heats up well for an open area of space. g', 'Mich safer than what I was using, thanks', 'Very good product', 'Liked the first one, so I purchased another. ', 'I had it for two days and it stopped working ', 'Works wonderful.', 'It is in good value.']","New: A brand-new, unused, unopened, undamaged item in its original packaging (where packaging is applicable). Packaging should be the same as what is found in a retail store, unless the item is handmade or was packaged by the manufacturer in non-retail packaging, such as an unprinted box or plastic bag. See the seller's listing for full details. ",,HO-0279,,,,,,"Metal, Cast Metal",,,Electric,"Electric Portable Heater, Space Heater","Thermostat, Wheels, Heater, Auto Shut Off, Automatic Shutoff, Indoor, Handle",,,Black,,,,Floor,,3,"300 sq ft or more, Under 150 sq ft",1500 W,,Intertek,1 year,Switch,,,Radiant,,120 V,,,,,HO-0279,Does not apply,,,0810004813496,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Autojack 2KW Ceramic Fan Heater Space Air Warmer Electric Workshop Garage 240v,35.99,"1,818 sold","['Very good heater considering its compact size. Nice and neat and easy to use. Within fifteen minutes my garage is warm enough for the thermostat to shut down at the desired temperature. Very comfortable to work with does exactly what it says on the tin! Much more efficient than my old fan heater. Recommend it to anyone with a reasonably small cold space that wants to be comfortable. Best value in heaters for years.', ""Now , I need heaters to manage my workshop , for temperature control in my workshop for epoxy resin tables , this heater is the nuts , hot , doesn't over heat the plug or blowfuses, 8 degrees to 15 plus , I can only say this little heater punches above its weight. "", 'so far all good seems good value gives out plenty heat and also can run fan only for cold air ', 'just what was needed', 'Brilliant service and well worth the money . Haven’t stopped using it as it warms my shed up really well . Thanku ', 'Excellent sturdy quality. Efficient heater quickly warms up my double garage. ', 'Looks a well made robust little heater, time will tell!!', ""Keeps my garage nice and toasty. Great wee heater for the money can't grumble at all thanks guys "", 'Heats up quick it’s a great robust little heater ', 'excellent product']","New: A brand-new, unused, unopened, undamaged item in its original packaging (where packaging is applicable). Packaging should be the same as what is found in a retail store, unless the item is handmade or was packaged by the manufacturer in non-retail packaging, such as an unprinted box or plastic bag. See the seller's listing for full details. ",PTC,EFH2KW,,,160 mm,217 mm,,"Ceramic, Steel",,Not Applicable,"Fan, Electric",Portable Heater,Auto Shut-off,,,,2000,Low Noise,Not Applicable,Floor,210 mm,3,11 - 20 sq m,1501-2000 W,6820,AutoJack,,Rotary Knob,Ceramic,A – G,Forced Air/Fan,Not Applicable,240 V,White,,,,EFH2KW,5060504001601,,,,,,,,Compliant,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12V/24V/110V/220V 2PCS PTC Heating Element Air Heating Sensor Hair Dryer Heater,22.07,30-day returns, ,"New: A brand-new, unused, unopened, undamaged item in its original packaging (where packaging is applicable). Packaging should be the same as what is found in a retail store, unless the item is handmade or was packaged by the manufacturer in non-retail packaging, such as an unprinted box or plastic bag. See the seller's listing for full details. ",,1,,,,,,Ceramics,,,,PTC thermistor,,,,,,,,,,,,,,Unbranded,,,,,,,12 V,,,,,Does not apply,,,,,,,,,,,,,,,,,PTC thermistor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HOMCOM 2720W Oil Filled Radiator Portable Space Heater W/ 3 Heat Settings,62.99,205 sold, ,"New: A brand-new, unused, unopened, undamaged item in its original packaging (where packaging is applicable). Packaging should be the same as what is found in a retail store, unless the item is handmade or was packaged by the manufacturer in non-retail packaging, such as an unprinted box or plastic bag. See the seller's listing for full details. ",Electric heating tube,820-272,,,24cm,24cm,,"Steel, PA",,Not available,Electric,Oil Filled Radiator,Timer,,,,,less 40db,1,Free Standing,51cm,3,9-15㎡,2290-2720W,8500 BTU,HOMCOM,,Knob,Steel,A - G,Radiant heater,100%,220-240V,White,,,,UK820-2720342,5056534530860,,,,,,,,A,,,,,,,,,60cm,51cmx24cmx60cm,white,Home&SpaceHeater,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Plug In Wall Electric Heater Mini UK Portable Office Fan Led Timer & Speed 600W,19.95,30-day returns, ,"New: A brand-new, unused, unopened, undamaged item in its original packaging (where packaging is applicable). Packaging should be the same as what is found in a retail store, unless the item is handmade or was packaged by the manufacturer in non-retail packaging, such as an unprinted box or plastic bag. See the seller's listing for full details. ",Ceramic,Supawarm portable,China,No,10,14,,Ceramic,,no,Electric,Portable Heater,Timer,,,,,Standard,N/A,Wall,14,2,21 - 30 sq m,500W,N/A,SupaWarm,3 Years,Digital,Ceramic,A - G,Forced Air/Fan,N/A,220-240v,White,,,,SWHH500,5017193357564,,,,,,,,A,,,,,,Cable Less,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12V/15W/Element/Silicone Nitrous Bottle Heater Flexible Heating Pad Mat Plate AU,8.69,30-day returns, ,"New: A brand-new, unused, unopened, undamaged item in its original packaging (where packaging is applicable). Packaging should be the same as what is found in a retail store, unless the item is handmade or was packaged by the manufacturer in non-retail packaging, such as an unprinted box or plastic bag. See the seller's listing for full details. ",,,,,,,,Silicone,,,,Silicone Heater Pad,,,,Orange,,,,,100mm,,,,,Unbranded,,,,,,,12 V,,,,,Does Not Apply,,,,Does not apply,,,,,,,,,,,,,,,,,,,,1 x Silicone Heater Pad,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1 NOS perfection 500 Heater wick,50.0,13 watchers, ,"New: A brand-new, unused, unopened, undamaged item in its original packaging (where packaging is applicable). Packaging should be the same as what is found in a retail store, unless the item is handmade or was packaged by the manufacturer in non-retail packaging, such as an unprinted box or plastic bag. See the seller's listing for full details. ",,,,,,,,,,,,,,,,,,,,,,,,,,Perfection,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Thermix  Plinth Heater- Silver/black/stainless steel/self-color grille 1.5KW,164.95,369 sold, ,"New: A brand-new, unused, unopened, undamaged item in its original packaging (where packaging is applicable). Packaging should be the same as what is found in a retail store, unless the item is handmade or was packaged by the manufacturer in non-retail packaging, such as an unprinted box or plastic bag. See the seller's listing for full details. ",,KPH-1500Classic,United Kingdom,,,,,,,,,,,,,,,,,,,,,,,Thermix,,,,,,,,,,,,Does Not Apply,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Upright Fan Heater 2KW 2000W Hot & Cold Air - SAME DAY DISPATCH ORDER BY 4PM,13.99,372 sold, ,"New: A brand-new, unused, unopened, undamaged item in its original packaging (where packaging is applicable). Packaging should be the same as what is found in a retail store, unless the item is handmade or was packaged by the manufacturer in non-retail packaging, such as an unprinted box or plastic bag. See the seller's listing for full details. ",,,,,,,,,,,"Electric, Fan",Portable Heater,,,,,2000,,,,,,,,,Status,,,,,,,,,,,,,0682269516661,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Starke Electric Heater Column Black 3 Heat Settings Thermostat Oil 5 Fin 1000W,68.0,613 sold,"['This is the second low watt heater I bought trying to save on electric bill, but back to using $20 fan heater. Although it uses 2000W it gets the room warm enough to cycle. A bigger oil heater that holds more oil and has bigger surface area would be better but they are expensive. I guess you pay for what you get. Only way to save on electricity is to buy expensive gas heater', 'QUIK TO HEAT AND EFFICIENT', 'It is a perfect heater for heating a small room. I am very happy with it.', 'Nice and compact, works great', 'It doesn’t get very hot not impressed with it at all.', 'all good']",New,,TRRS1000EG,,,,,,Steel,,,"Electric, Oil",Portable Heater,"Thermostat, Auto Shut-off",,,,,,,Floor,,3,,1000 W,,Starke,1 Year,"Dial, Rotary Knob",,,Radiant,,240 V,Black,,,,TRRS1000EG,,,,0787099867577,,,,,,,,,,,,,,,,,,Red,66cm x 30cm x 15cm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Honeywell 360 Degree Surround Heat BLACK Heater Electric 1500W Portable,24.99, , ,"New: A brand-new, unused, unopened, undamaged item in its original packaging (where packaging is applicable). Packaging should be the same as what is found in a retail store, unless the item is handmade or was packaged by the manufacturer in non-retail packaging, such as an unprinted box or plastic bag. See the seller's listing for full details. ",,,,,,,,,,,Electric,Portable Heater,,,,White,,,,,,2,,,Less Than 2000 BTU,Honeywell,,Rotary Knob,,,,,,,,,,HHF360VWM,,,,092926493608,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mr Heater Buddy BIG BUDDY Propane Heater WARM Z IT UP COOKING WARMING TRAY PAN,16.99,174 sold, ,"New: A brand-new, unused, unopened, undamaged item in its original packaging (where packaging is applicable). Packaging should be the same as what is found in a retail store, unless the item is handmade or was packaged by the manufacturer in non-retail packaging, such as an unprinted box or plastic bag. See the seller's listing for full details. ",,,,,,,,,,,Propane,,,,,Yellow,,,,,,,,,,Mr Heater,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"HOMCOM Convector Radiator Heater w/ Adjustable Thermostat  Safety Cut-Off, Black",49.99,31 sold, ,"New: A brand-new, unused, unopened, undamaged item in its original packaging (where packaging is applicable). Packaging should be the same as what is found in a retail store, unless the item is handmade or was packaged by the manufacturer in non-retail packaging, such as an unprinted box or plastic bag. See the seller's listing for full details. ",Coil,Mhstarukltd 820-270BK-2,,,23cm,23cm,,"Metal, Plastic",,Not available,Electric,Heater,Timer,,,,,less 63db,3 or Less,Free Standing,74cm,2,9-15m²,1300W,5200 BTU,HOMCOM,,switch,Steel,A - G,PTC,100%,220-240V,Black,,,,UK820-270BK0342,5056534525293,,,,,,,,A,,,,,,,,,45.5cm,74cm x 23cm x 45.5cm,black,Home&SpaceHeater,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Remote Control  Electric Wall Heater Portable Plug In Heating Fan with Timer UK,16.58,30-day returns, ,"New: A brand-new, unused, unopened, undamaged item in its original packaging (where packaging is applicable). Packaging should be the same as what is found in a retail store, unless the item is handmade or was packaged by the manufacturer in non-retail packaging, such as an unprinted box or plastic bag. See the seller's listing for full details. ",,Does not apply,,,,,,Flame-retardant ABS+Flame-retardant nylon+PP,,,Electric,Portable Heater,Timer,,,,,31-40 dB,,Wall,,3,11 - 20 sq m,401-500 W,,Unbranded,,Remote Control,Ceramic,,Convection,,220V-240V,Black,,,,Does not apply,,,,,,,,,,,,,10.5*7*18cm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12V-220V Constant Temperature PTC Heater Element Thermostat Heating Plate Tablet,3.3,183 sold, ,"New: A brand-new, unused, unopened, undamaged item in its original packaging (where packaging is applicable). Packaging should be the same as what is found in a retail store, unless the item is handmade or was packaged by the manufacturer in non-retail packaging, such as an unprinted box or plastic bag. See the seller's listing for full details. ",,,China,,,,,,,,,,,,,,,,,,,,,,,Unbranded,,,,,,,,,,,,PTC Aluminum Ceramic Heater,,,,,,,,,,,,,,,,,,,,,,,,,PTC,35mm * 21mm * 5 mm,2~ 50W,150mm,Aluminum,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lasko 675945 Stanley Portable Electric 1500W Ceramic Utility Room Space Heater,26.99,139 sold,"['It does not throw  enough heat for 1500 watts. Also it does not have a remote control especially in the dark', 'Works great', 'Works great ', ""The fan isn't as strong as I'd like but it works."", 'Excelente producto trabajó muy bien 👍 ']","New: A brand-new, unused, unopened, undamaged item in its original packaging (where packaging is applicable). Packaging should be the same as what is found in a retail store, unless the item is handmade or was packaged by the manufacturer in non-retail packaging, such as an unprinted box or plastic bag. See the seller's listing for full details. ",,,,,,,,"Ceramic, Steel",,,Electric,,Timer,,,Gray,,,,,,,,,,Lasko,,Dial,,,,,120 V,,,,,675945,,,,046013762696,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NIGLON NFH400 400W FROST-WATCHER CONVECTOR HEATER WITH THERMOSTAT,25.0,701 sold, ,"New: A brand-new, unused, unopened, undamaged item in its original packaging (where packaging is applicable). Packaging should be the same as what is found in a retail store, unless the item is handmade or was packaged by the manufacturer in non-retail packaging, such as an unprinted box or plastic bag. See the seller's listing for full details. ",,NFH400,,,,,,,,,,Convection Heater,Thermostat,,,,,,,"Floor, Wall",,,,301-400 W,,Niglon,,,,,Convection,,240 V,Grey,,,,CH-500,Does not apply,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OVER DOOR WARM AIR CURTAIN ELECTRIC FAN WALL HEATER REMOTE CONTROL 2KW,38.97,"1,669 sold", ,"New: A brand-new, unused, unopened, undamaged item in its original packaging (where packaging is applicable). Packaging should be the same as what is found in a retail store, unless the item is handmade or was packaged by the manufacturer in non-retail packaging, such as an unprinted box or plastic bag. See the seller's listing for full details. ",,Fan Heater,,,,,Wall-Mountable,,,,"Electric, Fan",OVER DOOR WARM AIR CURTAIN ELECTRIC FAN WALL HEATE,Wall-Mountable,,24 Hours,,,,,Wall,,2,,,,NEW LGD,,"Digital, Remote Control, Switch, Touch",PTC,,FAN WALL HEATER,,240 V,White,,WALL FAN HEATER,Any Room,BWF01,Does not apply,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mr. Heater MH4GC 4000 BTU Radiant Propane Portable Golf Cart Cup Holder Heater,73.29,281 sold,"['the actual heater is great. Easy to use and works every time. Problem is with the lower portion that fits into the cup holder. Entire unit is extremely top heavy and can very easily tip out of the cup holder. The fit into the cup holder in my club car golf car is loose and poorly designed. I would not reccomend this item.', 'Have bought 3 different style heaters in 3 years to use golfing (with cart covers) and this Mr. Heater unit is the best. Regarding cost, starting ease, overall warmth, and quality construction this is by far the best heater on the market. Four players in my gaggle of friends (playing in the winter) own this unit and are thoroughly pleased with its performance and durability. If you winter golf, Buy It!', 'I last owned a Coleman brand Golf Cart Heater....it lasted about 10 years and finally died. I purchased this MH4GC unit next and it is not as good as the Coleman unit, but the Coleman unit is no longer made, so I\'m stuck with this one. Couple of issues...first and foremost, this heater is way top heavy so it will NOT stay put in a golf cart cup holder...the slightest bump and it flies right out of the cart\'s cup holder and if it lands on a person, they will get burned....I know, because it happened to me! I now have it ""tied"" in place with a bungee cord when I use it. No way could the manufacturer have tested this properly...my golf carts are 2017 model electric EZ Go Golf Carts. Second, there is no variable control on the heat...it\'s either wide open or shut off. I\'m not crazy about that, it does consume fuel at a higher rate than one with an adjustable propane flow valve, but you\'re compelled to live with it if you want heat. If I can find another option when this one dies, I will undoubtedly try it.', ""Pretty simple to operate. Screw in 1 lb camper gas canister, press 'on' button a couple of times until it lights and you have heat. To turn it off hit the 'off' button. I ordered it for use in a golf cart.  Nothing to put together other than putting the canister into the holder and setting it into a cup holder."", ""I had to ding this product because the poorly designed tip-over switch defeats the premise of the product.At even the tiniest bump in the cart path or fairway this heater turns itself off -- you will have to re-light 30+ times per round.It's a shame because it does put out nice heat and is otherwise effective and generally a fair price.The manufacturer missed the mark here."", 'Used it in my side by side this past week while hunting. Takes the rocky roads really well, the stiff north wind did blow it out a couple of times while driving around but overall it worked really well. I would recommend it and it really helps keep you warm while driving around the deer lease.', 'This heater works great in a covered cart, in fact it can get too warm, even when the outside temps  are in upper 30s and lower 40s.  In an open cart you feel the heat when the cart is stationery, however when moving or winds over 10 mph you can feel the heat.  The holder works in the smaller cart cup.Suggest they need to have an adjustable temp knob.All in all, I like the Mr. Heater portable golf cart heater.   ', ""I have something similar to this in my shop, but they are bigger, but when they heat up the screens glow orange, this little one doesn't do that so I thought it wasn't working correctly. But if you do like the instructions say and make sure the pilot is lit. Then leave it alone it will start producing heat. "", ""Mr. Heater that I got was brand new and worked great.  I even got it 1 day earlier than expected.  I've already used it 3 times and it has worked great!"", ""I read all the reviews I could find on this heater before purchase, so expected a good product.  It had to sit under the tree for a few days but Christmas morning it was installed in the cart!  It has been out on one excursion and all the guys wanted to 'ride in the warm cart'.  The hubbby is more than pleased!It sits steady in the front cup holder, is cool to the touch on all sides (well not the front of course), and works instantly!  More than pleased hubby here...........""]","New: A brand-new, unused, unopened, undamaged item in its original packaging (where packaging is applicable). Packaging should be the same as what is found in a retail store, unless the item is handmade or was packaged by the manufacturer in non-retail packaging, such as an unprinted box or plastic bag. See the seller's listing for full details. ",,MH-F242010,Unknown,No,,,,Plastic,,,Propane,Propane,,,,Black,1998,,,,37.5 in,1,,,,Mr. Heater,,Switch,,,Radiant,,,,No,,,F242010,0089301000223,,,0089301000223,,,,,,,,,,,0in.-14in.,,,,,,,,,,,,,,,No,No,5.95 lb,No,Yes,No,,,,,,,,,,,,,,,,,,,,,,,,,
5-Fin Oil Heater 500W 240V Noiseless Compact Electric Energy Efficient - GH1580,54.95,28 sold, ,New,5 Fins,GH1580,,No,27cm,13cm,,Steel,,N/A,Oil,Portable Heater,Compact,,,,,Noiseless,,"Desk/Tabletop, Floor",425mm,Variable,10 sq m or Less,500W,Standard,PowerTech,1 Year,"Rotary Knob, Switch",Steel,,Compact Oil heater,N/A,240 V,White,,,,GH1580,,,,,,,,,,Radiant,,,,,1.4m,,,,,,,,,,,,,,,,,,,,,Compliant,,,,,,,,,,,,,,,,,,,,,,,,
Pelonis HO-0279 1500W Electric Oil Filled Radiator Space Heater - Black,55.99,213 sold,"['Love this heater. Plenty of heat, easy to move around, good looking. Price cant be beat. Fast ship. Live in Maine, use it in 8 x 8 greenhouse.  Replaced old unit. Keeps  my veggie seedlings happy when its freezing  outside. The oil in heater retains heat,even when it thermostat is satisfied. Very happy with purchase. G', 'Simple to operate with just the two knobs, Easily to transport on wheels from place to place inside the residence, and heats up well for an open area of space. g', 'Mich safer than what I was using, thanks', 'Very good product', 'Liked the first one, so I purchased another. ', 'I had it for two days and it stopped working ', 'Works wonderful.', 'It is in good value.']","New: A brand-new, unused, unopened, undamaged item in its original packaging (where packaging is applicable). Packaging should be the same as what is found in a retail store, unless the item is handmade or was packaged by the manufacturer in non-retail packaging, such as an unprinted box or plastic bag. See the seller's listing for full details. ",,HO-0279,,,,,,"Metal, Cast Metal",,,Electric,"Electric Portable Heater, Space Heater","Thermostat, Wheels, Heater, Auto Shut Off, Automatic Shutoff, Indoor, Handle",,,Black,,,,Floor,,3,"300 sq ft or more, Under 150 sq ft",1500 W,,Intertek,,Switch,,,Radiant,,120 V,,,,,HO-0279,,,,0810004813496,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lifesmart Electric Space Heater W/ Remote 1500-Watt 4-Elements Infrared Blacks,33.79,32 sold, ,"New: A brand-new, unused, unopened, undamaged item in its original packaging (where packaging is applicable). Packaging should be the same as what is found in a retail store, unless the item is handmade or was packaged by the manufacturer in non-retail packaging, such as an unprinted box or plastic bag. See the seller's listing for full details. ",Coil,HT1195,,,,,,Plastic,,,Electric,Portable Heater,"Auto Shut-off, Timer",Infrared,12 hrs,Black,2016,Standard,,"Floor, Desk/Tabletop",,2,351-400 sq ft,1001-1500 W,5000-5999 BTU,Life Smart Labs,,"Remote Control, Push Button, Digital, Touch, Analog/Mechanical",,,Infrared,,120 V,,,,,HT1195,0817223017735,,,0817223017735,,,,,,1-Way,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Electric Tube Heater Mountable Greenhouse Grow Room, Tent Heating Hydroponics",24.85,44 sold, ,"New: A brand-new, unused, unopened, undamaged item in its original packaging (where packaging is applicable). Packaging should be the same as what is found in a retail store, unless the item is handmade or was packaged by the manufacturer in non-retail packaging, such as an unprinted box or plastic bag. See the seller's listing for full details. ",,,,,,,,Steel,,,Electric,Tube heater,"Overheat Protection, Wall-Mountable",,,,,,,"Baseboard, Bulkhead, Cabinet, Desk/Tabletop, Floor, Wall, Window",,1,,,,Grow Gadgets,,Analog/Mechanical,,,Radiant,,240 V,White,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Greenhouse,,,,,,,,,,,,,,,,
Portable Electric Space Heater PTC Ceramic Adjustable Thermostat Winter Warm,35.99,30-day returns, ,"New: A brand-new, unused, unopened, undamaged item in its original packaging (where packaging is applicable). Packaging should be the same as what is found in a retail store, unless the item is handmade or was packaged by the manufacturer in non-retail packaging, such as an unprinted box or plastic bag. See the seller's listing for full details. ",,,,,,,,,,,Electric,Portable Heater,,,,Black,,,,Desk/Tabletop,,2,,,,Unbranded,,,,,,,,,,,,,,,,Does not apply,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Far Infrared Heater Panel Picture. Portable Heater 450W. Heating area 8-12m2.,54.0,812 sold, ,"New: A brand-new, unused, unopened, undamaged item in its original packaging (where packaging is applicable). Packaging should be the same as what is found in a retail store, unless the item is handmade or was packaged by the manufacturer in non-retail packaging, such as an unprinted box or plastic bag. See the seller's listing for full details. ",,,,,,,,,,,Electric,Infrared,"Portable, Wall-Mountable",,,,,,,Wall,,,,,,Unbranded,,,,,Infrared,,,transparent,,,,Does Not Apply,,,450W,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,1,kg,,,,,,,,,,,,,
PERFECTION KEROSENE HEATER WICK- 500 SERIES *COTTON / FIBERGLASS* & FREE BONUS ,20.99,42 sold, ,"New: A brand-new, unused, unopened, undamaged item in its original packaging (where packaging is applicable). Packaging should be the same as what is found in a retail store, unless the item is handmade or was packaged by the manufacturer in non-retail packaging, such as an unprinted box or plastic bag. See the seller's listing for full details. ",,,,,,,,,,,Kerosene,Portable Heater,,,,White,,,,,,,,,,World Marketing of America,,,,,"Radiant, Convection",,,,,,,27540,,,,013204275402,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Goldair Electric Fan Heater White 2000W Portable Thermostat Room Floor Table,45.0,87 sold,"['very well made stylish heater. great ""turbo fan"" feature. excellent heater for a reasonable price.', 'Only needed for the bedroom on the 5-6 hottest summer nights. 5 minutes to assemble. Very light weight so it isn\'t what you would call ""robust"" but it meets my particular needs perfectly with very low price.', 'It radiates great heat, is easy to use and conveniently sized.I’m happy with mine!  Thank you.', 'Excellent product, fills our need perfectly, It is good that it has on overturn switch off function. Particularly when there is grandchildren around. Could be a bit quieter but no real problem there.', 'This good quality Fan heater is exactly the right product, that I want to use. ', 'all is ok, buttons a bit hard to use', 'Great Quality', 'Thermostat not work as mentioned on instructions.It heat the room  ok but  it won’t start again when the room get cold.', 'Just the job for warming my bathroom these cold mornings. ']",New,,2000W,,,,,,,,,"Electric, Fan",Portable Heater,"Analog Thermostat, Anti Frost, Automatic Shut-Off, Cool-Touch Exterior, Thermostat",,,,,,,Floor,,2,,1501-2000 W,,Goldair,,Rotary Knob,,,Forced Air/Fan,,240 V,White,,,,GSFH150,,,,9420014215220,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,
